,,,Place,,Conference,,Division,,,,,,All-Star,,Margin,,Month,,,,,,
Rk,Team,Overall,Home,Road,E,W,A,C,SE,NW,P,SW,Pre,Post,≤3,≥10,Oct,Nov,Dec,Jan,Feb,Mar,Apr
1,Milwaukee Bucks,Jun-33,18-Feb,15-Apr,20-Mar,13-Mar,02-Mar,10-0,01-Jul,01-May,4-0,02-Apr,Jun-33,0-0,01-Feb,19-Mar,02-Feb,15-Jan,13-Feb,01-Mar,0-0,0-0,0-0
2,Los Angeles Lakers,30-Jul,15-Apr,15-Mar,03-Oct,20-Apr,01-Jan,02-Feb,7-0,01-Aug,02-Apr,01-Aug,30-Jul,0-0,01-Apr,14-Mar,01-Mar,14-Jan,05-Sep,4-0,0-0,0-0,0-0
3,Miami Heat,27-Oct,17-Jan,09-Oct,19-Apr,06-Aug,02-Jun,8-0,02-May,02-Feb,02-Feb,02-Apr,27-Oct,0-0,01-Apr,14-Jun,01-Apr,04-Sep,04-Nov,01-Mar,0-0,0-0,0-0
4,Denver Nuggets,26-Nov,15-Apr,07-Nov,05-Nov,15-Jun,03-May,1-0,02-May,5-0,02-Jun,04-Apr,26-Nov,0-0,03-May,05-Aug,02-Mar,02-Oct,06-Oct,01-Mar,0-0,0-0,0-0
5,Los Angeles Clippers,26-Dec,16-Apr,08-Oct,03-Oct,16-Sep,4-0,03-Feb,4-0,03-May,01-May,05-Jun,26-Dec,0-0,01-May,17-May,02-Apr,04-Oct,05-Oct,01-Feb,0-0,0-0,0-0
6,Boston Celtics,25-Oct,14-Mar,07-Nov,18-Jun,04-Jul,04-Jun,01-Jun,01-Jun,01-Jan,02-Mar,01-Mar,25-Oct,0-0,02-Mar,15-Mar,01-Mar,04-Oct,03-Oct,02-Feb,0-0,0-0,0-0
7,Houston Rockets,25-Nov,13-Apr,07-Dec,04-Nov,14-Jul,01-Mar,02-Mar,01-May,01-Apr,03-Jun,03-Apr,25-Nov,0-0,03-Mar,05-Nov,01-Mar,05-Oct,05-Oct,2-0,0-0,0-0,0-0
8,Toronto Raptors,25-13,14-Jun,07-Nov,18-Jul,06-Jul,03-May,02-Jun,02-Jul,02-Feb,02-Feb,02-Mar,25-13,0-0,02-Apr,06-Dec,01-Apr,03-Oct,07-Sep,02-Feb,0-0,0-0,0-0
9,Utah Jazz,25-Dec,14-Mar,09-Nov,05-Oct,15-Jul,02-Mar,02-Mar,01-Apr,02-Apr,04-Jul,01-Apr,25-Dec,0-0,03-Apr,06-Sep,01-Apr,06-Aug,05-Sep,4-0,0-0,0-0,0-0
10,Philadelphia 76ers,24-14,17-Feb,12-Jul,16-Aug,06-Aug,02-May,01-Jul,05-Apr,03-May,01-Jan,02-Feb,24-14,0-0,04-Apr,05-Sep,4-0,06-Oct,07-Sep,01-Jan,0-0,0-0,0-0
11,Dallas Mavericks,23-14,09-Nov,05-Dec,07-Oct,13-Jul,05-Mar,5-0,02-Feb,03-Feb,04-Apr,7-0,23-14,0-0,05-Feb,03-Dec,01-Mar,05-Sep,06-Sep,02-Feb,0-0,0-0,0-0
12,Indiana Pacers,23-15,15-May,10-Aug,16-Nov,04-Jul,01-Jun,06-Mar,04-Jul,01-Mar,01-Feb,02-Feb,23-15,0-0,04-Mar,13-Jun,03-Jan,04-Nov,05-Oct,03-Jan,0-0,0-0,0-0
13,Oklahoma City Thunder,21-16,06-Dec,10-Sep,05-Jul,14-Nov,01-Mar,03-Feb,01-Feb,04-Mar,04-May,03-Jun,21-16,0-0,05-May,04-Jul,04-Jan,07-Jun,04-Nov,01-Mar,0-0,0-0,0-0
14,Orlando Magic,18-20,13-Aug,12-May,13-Nov,09-May,03-Apr,06-Apr,02-May,0-6,01-Feb,02-Mar,18-20,0-0,01-Feb,07-Oct,02-Feb,09-May,08-Jul,01-Apr,0-0,0-0,0-0
15,Brooklyn Nets,16-20,08-Sep,12-Jul,10-Oct,10-Jun,04-Apr,03-Feb,03-Apr,05-Feb,01-Jan,04-Mar,16-20,0-0,03-Mar,10-Jun,03-Jan,06-Sep,07-Jun,0-4,0-0,0-0,0-0
16,Memphis Grizzlies,16-22,12-Aug,10-Aug,08-May,14-Nov,1-0,0-6,02-Apr,05-May,06-May,03-Jan,16-22,0-0,02-Mar,11-May,03-Jan,10-Apr,08-Aug,01-Mar,0-0,0-0,0-0
17,Portland Trail Blazers,16-22,09-Aug,13-Aug,07-Jul,15-Sep,04-Feb,02-Feb,01-Mar,04-Mar,07-Apr,04-Feb,16-22,0-0,02-Apr,08-Sep,02-Mar,10-May,08-Jun,02-Feb,0-0,0-0,0-0
18,San Antonio Spurs,16-20,09-Nov,11-May,08-Jul,12-Sep,02-Apr,03-Feb,03-Jan,04-Feb,04-May,04-Feb,16-20,0-0,02-May,07-Jul,01-Mar,12-Apr,05-Jul,02-Feb,0-0,0-0,0-0
19,Charlotte Hornets,15-25,13-Jul,12-Aug,16-Oct,09-May,08-Feb,05-Jul,03-Jan,0-3,03-Apr,03-Jan,15-25,0-0,05-Aug,14-Feb,03-Feb,10-Jun,10-May,02-Feb,0-0,0-0,0-0
20,Sacramento Kings,15-23,10-Aug,13-Jul,09-Apr,14-Nov,05-Feb,0-2,02-Feb,06-Apr,04-Apr,04-Mar,15-23,0-0,07-May,07-May,0-5,05-Aug,12-Apr,01-Mar,0-0,0-0,0-0
